population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
970,384,38542.0,82100.0,433,433,36.110297100000004,-79.43957879999999,50.0
1019,383,30625.0,107900.0,429,429,36.0734185,-79.4065332,42.0
1040,552,19318.0,90800.0,592,592,36.0741823,-79.39408449999999,52.0
1690,693,30478.0,81800.0,693,693,36.080374299999995,-79.39562559999999,57.0
424,232,20667.0,74800.0,257,257,36.0993598,-79.4265346,61.0
1099,405,24913.0,70700.0,527,527,36.088481099999996,-79.42369000000001,64.0
1146,385,35625.0,79800.0,434,434,36.088959700000004,-79.4121098,62.0
999,361,55875.0,113300.0,400,400,36.2182327,-79.2795166,27.0
1273,504,43750.0,110500.0,581,581,36.2042117,-79.30432449999999,33.0
1380,535,52583.0,141200.0,535,535,36.135409499999994,-79.5054593,24.0
2150,717,58322.0,145300.0,755,755,36.1093217,-79.5255902,20.0
1792,754,36786.0,139600.0,790,790,36.143659299999996,-79.40047440000001,53.0
945,443,58098.0,206900.0,459,459,36.2177578,-79.40155920000001,44.0
1414,552,69868.0,165400.0,593,593,36.215377200000006,-79.48636979999999,25.0
1138,408,52083.0,113800.0,440,440,36.1938775,-79.50664609999998,38.0
1695,568,33056.0,85600.0,623,623,36.114519,-79.42094190000002,44.0
2866,998,45612.0,132800.0,1026,1026,36.1290602,-79.4352637,38.0
3062,506,56538.0,280800.0,506,506,36.1183311,-79.5027351,26.0
895,446,78125.0,237900.0,446,446,36.0475432,-79.27497029999999,27.0
2685,935,53906.0,153600.0,992,992,36.04411270000001,-79.31894820000001,26.0
2764,965,36746.0,89200.0,982,982,36.0899761,-79.3879819,39.0
1078,421,,9999.0,434,434,36.1128804,-79.40815690000001,37.0
1068,347,32786.0,,435,435,36.10188529999999,-79.41302320000001,56.0
1882,781,37569.0,102400.0,854,854,36.1139331,-79.36800129999999,40.0
1224,458,29833.0,115200.0,531,531,36.0757433,-79.3565903,52.0
1136,445,47679.0,167800.0,504,504,35.868880100000005,-79.4406271,35.0
1522,596,61500.0,151800.0,652,652,36.0133874,-79.3826015,33.0
2005,706,76048.0,203600.0,794,794,35.9706785,-79.3706321,24.0
1034,478,59667.0,158100.0,588,588,35.9384862,-79.39135999999999,34.0
1665,673,51194.0,122100.0,716,716,35.919034100000005,-79.3395123,21.0
649,291,49450.0,147200.0,323,323,35.9081496,-79.2840592,31.0
2152,841,61932.0,135900.0,892,892,35.8648152,-79.3221879,20.0
1060,492,41008.0,132100.0,560,560,35.97873,-79.3004464,28.0
1808,706,64286.0,214900.0,750,750,36.020843,-79.3517007,40.0
2236,889,61042.0,155000.0,889,889,35.9925369,-79.3213316,21.0
