B01001_001E,B11001_001E,B19013_001E,B25077_001E,B25035_001E,B25041_001E,B25017_001E,NAME,GEO_ID,state,county,tract,block group
970,384,38542,82100,1968,433,433,"Block Group 5, Census Tract 204, Alamance County, North Carolina",1500000US370010204005,37,001,020400,5
1019,383,30625,107900,1976,429,429,"Block Group 3, Census Tract 210, Alamance County, North Carolina",1500000US370010210003,37,001,021000,3
1040,552,19318,90800,1966,592,592,"Block Group 1, Census Tract 210, Alamance County, North Carolina",1500000US370010210001,37,001,021000,1
1690,693,30478,81800,1961,693,693,"Block Group 2, Census Tract 210, Alamance County, North Carolina",1500000US370010210002,37,001,021000,2
424,232,20667,74800,1957,257,257,"Block Group 2, Census Tract 202, Alamance County, North Carolina",1500000US370010202002,37,001,020200,2
1099,405,24913,70700,1954,527,527,"Block Group 3, Census Tract 202, Alamance County, North Carolina",1500000US370010202003,37,001,020200,3
1146,385,35625,79800,1956,434,434,"Block Group 1, Census Tract 202, Alamance County, North Carolina",1500000US370010202001,37,001,020200,1
999,361,55875,113300,1991,400,400,"Block Group 3, Census Tract 213, Alamance County, North Carolina",1500000US370010213003,37,001,021300,3
1273,504,43750,110500,1985,581,581,"Block Group 2, Census Tract 213, Alamance County, North Carolina",1500000US370010213002,37,001,021300,2
1380,535,52583,141200,1994,535,535,"Block Group 2, Census Tract 216, Alamance County, North Carolina",1500000US370010216002,37,001,021600,2
2150,717,58322,145300,1998,755,755,"Block Group 3, Census Tract 216, Alamance County, North Carolina",1500000US370010216003,37,001,021600,3
1792,754,36786,139600,1965,790,790,"Block Group 1, Census Tract 214, Alamance County, North Carolina",1500000US370010214001,37,001,021400,1
945,443,58098,206900,1974,459,459,"Block Group 2, Census Tract 214, Alamance County, North Carolina",1500000US370010214002,37,001,021400,2
1414,552,69868,165400,1993,593,593,"Block Group 2, Census Tract 215, Alamance County, North Carolina",1500000US370010215002,37,001,021500,2
1138,408,52083,113800,1980,440,440,"Block Group 1, Census Tract 215, Alamance County, North Carolina",1500000US370010215001,37,001,021500,1
