GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,GEOID_1,NAMELSAD_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,OBJECTID_1
370010201001,Block Group 1,983262.000000000000000,0.000000000000000,+36.0991247,-79.4483765,1,37001020100,Census Tract 201,4511687.000000000000000,0.000000000000000,+36.0914774,-79.4455986,1
370010201002,Block Group 2,1196525.000000000000000,0.000000000000000,+36.0922109,-79.4507937,2,37001020100,Census Tract 201,4511687.000000000000000,0.000000000000000,+36.0914774,-79.4455986,1
370010201003,Block Group 3,1352647.000000000000000,0.000000000000000,+36.0835374,-79.4454912,3,37001020100,Census Tract 201,4511687.000000000000000,0.000000000000000,+36.0914774,-79.4455986,1
370010201004,Block Group 4,979253.000000000000000,0.000000000000000,+36.0938695,-79.4366101,4,37001020100,Census Tract 201,4511687.000000000000000,0.000000000000000,+36.0914774,-79.4455986,1
370010202001,Block Group 1,1017947.000000000000000,0.000000000000000,+36.0889597,-79.4121098,5,37001020200,Census Tract 202,3454835.000000000000000,0.000000000000000,+36.0919322,-79.4195578,2
370010202002,Block Group 2,418130.000000000000000,0.000000000000000,+36.0993598,-79.4265346,6,37001020200,Census Tract 202,3454835.000000000000000,0.000000000000000,+36.0919322,-79.4195578,2
370010202003,Block Group 3,955711.000000000000000,0.000000000000000,+36.0884811,-79.4236900,7,37001020200,Census Tract 202,3454835.000000000000000,0.000000000000000,+36.0919322,-79.4195578,2
370010204003,Block Group 3,641596.000000000000000,0.000000000000000,+36.1075350,-79.4286170,8,37001020400,Census Tract 204,11558147.000000000000000,268108.000000000000000,+36.1207861,-79.4322349,4
370010204004,Block Group 4,681750.000000000000000,0.000000000000000,+36.1031513,-79.4258333,9,37001020400,Census Tract 204,11558147.000000000000000,268108.000000000000000,+36.1207861,-79.4322349,4
370010205011,Block Group 1,5018622.000000000000000,24554.000000000000000,+36.1185305,-79.4787097,10,37001020501,Census Tract 205.01,7138143.000000000000000,78069.000000000000000,+36.1220609,-79.4795203,5
370010206011,Block Group 1,1736456.000000000000000,2466.000000000000000,+36.0956641,-79.4825504,11,37001020601,Census Tract 206.01,5586057.000000000000000,31230.000000000000000,+36.0922418,-79.4903918,7
